2,40+2,45+2,50+2,45+2,45+2,45+2,50+2,50+2,49+2,49+2,49+2,50+2,13+2,https://cdn.sofifa.net/players/252/612/22_120.png,https://cdn.sofifa.net/teams/1474/60.png,https://cdn.sofifa.net/flags/kr.png,,https://cdn.sofifa.net/flags/kr.png
252644,https://sofifa.com/player/252644/hoo-sung-oh/220002,Oh Hoo Sung,Hoo Sung Oh,"CAM, CF",52,62,180000,1000,21,1999-08-25,173,64,2056,Daegu FC,Korean K League 1,1,RES,13,,2019-01-04,2022,167,Korea Republic,,,,Right,4,2,1,High/Medium,Lean (170-185),No,261000,,,61,44,51,53,40,43,45,42,45,55,38,50,45,42,56,52,53,67,49,50,86,45,55,52,38,46,42,29,51,52,39,56,42,43,46,12,7,9,6,12,,48+2,48+2,48+2,51,51,51,51,51,52+2,52+2,52+2,52+2,51+2,51+2,51+2,52+2,47+2,46+2,46+2,46+2,47+2,47+2,43+2,43+2,43+2,47+2,14+2,https://cdn.sofifa.net/players/252/644/22_120.png,https://cdn.sofifa.net/teams/2056/60.png,https://cdn.sofifa.net/flags/kr.png,,https://cdn.sofifa.net/flags/kr.png
252665,https://sofifa.com/player/252665/sung-yoon-lee/220002,Lee Sung Yoon,Sung Yoon Lee,"RM, RW",52,66,190000,1000,20,2000-10-31,184,73,1477,Jeonbuk Hyundai Motors,Korean K League 1,1,SUB,22,,2019-01-04,2022,167,Korea Republic,,,,Right,4,2,1,High/Low,Lean (170-185),No,366000,,,65,51,42,55,20,48,38,53,39,45,46,56,45,32,32,54,68,62,60,48,64,49,56,53,50,48,33,16,48,48,58,49,19,18,20,10,12,11,11,12,,51+2,51+2,51+2,52,52,52,52,52,51+2,51+2,51+2,51+2,44+2,44+2,44+2,51+2,38+2,34+2,34+2,34+2,38+2,36+2,31+2,31+2,31+2,36+2,15+2,https://cdn.sofifa.net/players/252/665/22_120.png,https://cdn.sofifa.net/teams/1477/60.png,https://cdn.sofifa.net/flags/kr.png,,https://cdn.sofifa.net/flags/kr.png
252730,https://sofifa.com/player/252730/ross-sinclair/220002,R. Sinclair,Ross Sinclair,GK,52,62,150000,600,20,2001-05-07,196,75,100804,St. Johnstone FC,Scottish Premiership,1,RES,20,,2017-06-01,2024,42,Scotland,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,293000,,,,,,,,,10,7,11,32,7,12,12,13,31,29,19,32,37,52,53,40,56,17,25,5,25,7,4,33,17,21,5,12,12,50,52,53,49,52,24,20+2,20+2,20+2,21,22,22,22,21,24+2,24+2,24+2,22+2,25+2,25+2,25+2,22+2,19+2,22+2,22+2,22+2,19+2,19+2,18+2,18+2,18+2,19+2,51+2,https://cdn.sofifa.net/players/252/730/22_120.png,https://cdn.sofifa.net/teams/100804/60.png,https://cdn.sofifa.net/flags/gb-sct.png,,https://cdn.sofifa.net/flags/gb-sct.png
252788,https://sofifa.com/player/252788/ross-munro/220002,R. Munro,Ross Munro,GK,52,64,170000,600,21,2000-04-01,182,83,631,Ross County FC,Scottish Premiership,1,SUB,21,,2020-06-30,2022,42,Scotland,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,332000,,,,,,,,,13,5,14,21,6,14,14,12,28,11,30,30,34,39,59,39,55,26,55,5,27,14,4,26,14,34,8,11,11,53,56,52,51,52,30,19+2,19+2,19+2,17,18,18,18,17,18+2,18+2,18+2,19+2,20+2,20+2,20+2,19+2,18+2,20+2,20+2,20+2,18+2,18+2,20+2,20+2,20+2,18+2,51+2,https://cdn.sofifa.net/players/252/788/22_120.png,https://cdn.sofifa.net/teams/631/60.png,https://cdn.sofifa.net/flags/gb-sct.png,,https://cdn.sofifa.net/flags/gb-sct.png
252816,https://sofifa.com/player/252816/sung-soo-jeon/220002,Jeon Sung Soo,Sung Soo Jeon,ST,52,65,190000,750,20,2000-07-13,185,80,981,Seongnam FC,Korean K League 1,1,SUB,33,,2019-01-11,2022,167,Korea Republic,,,,Right,3,2,1,High/Medium,Lean (185+),No,356000,,,55,51,38,53,19,58,32,54,52,40,34,54,33,28,35,50,54,55,57,47,53,46,61,51,70,50,35,13,55,44,65,52,19,11,17,12,8,7,8,6,,52+2,52+2,52+2,49,50,50,50,49,49+2,49+2,49+2,48+2,42+2,42+2,42+2,48+2,34+2,32+2,32+2,32+2,34+2,32+2,32+2,32+2,32+2,32+2,13+2,https://cdn.sofifa.net/players/252/816/22_120.png,https://cdn.sofifa.net/teams/981/60.png,https://cdn.sofifa.net/flags/kr.png,,https://cdn.sofifa.net/flags/kr.png
253499,https://sofifa.com/player/253499/aniket-jadhav/220002,A. Jadhav,Aniket Jadhav,RM,52,67,190000,500,20,2000-07-13,173,69,113301,Hyderabad FC,Indian Super League,1,SUB,9,,2021-07-21,2024,159,India,,,,Right,3,2,1,Medium/Low,Normal (170-185),No,375000,,Long Shot Taker (AI),83,44,44,52,25,56,47,40,32,47,40,49,44,38,35,46,82,84,78,52,76,51,44,52,56,47,64,24,48,45,39,42,22,26,30,8,14,7,13,7,,49+2,49+2,49+2,52,50,50,50,52,50+2,50+2,50+2,51+2,44+2,44+2,44+2,51+2,43+2,39+2,39+2,39+2,43+2,42+2,37+2,37+2,37+2,42+2,15+2,https://cdn.sofifa.net/players/253/499/22_120.png,https://cdn.sofifa.net/teams/113301/60.png,https://cdn.sofifa.net/flags/in.png,,https://cdn.sofifa.net/flags/in.png
253506,https://sofifa.com/player/253506/samuel-lalmuanpuia/220002,S. Lalmuanpuia,Samuel Lalmuanpuia,"CAM, ST",52,61,180000,500,22,1998-07-27,172,64,113257,Odisha FC,Indian Super League,1,SUB,9,,2020-08-01,2022,159,India,,,,Right,4,2,1,Medium/Low,Lean (170-185),No,279000,,,67,48,52,56,30,49,46,45,38,52,42,53,55,60,51,50,66,67,81,45,86,53,55,72,36,50,49,28,46,55,51,56,30,31,25,14,12,14,9,10,,48+2,48+2,48+2,52,51,51,51,52,52+2,52+2,52+2,53+2,50+2,50+2,50+2,53+2,45+2,43+2,43+2,43+2,45+2,43+2,36+2,36+2,36+2,43+2,15+2,https://cdn.sofifa.net/players/253/506/22_120.png,https://cdn.sofifa.net/teams/113257/60.png,https://cdn.sofifa.net/flags/in.png,,https://cdn.sofifa.net/flags/in.png
253744,https://sofifa.com/player/253744/wu-xu/220002,Xu Wu,徐武,CB,52,53,80000,2000,28,1993-03-09,183,80,112165,Chongqing Liangjiang Athletic,Chinese Super League,1,SUB,5,,2019-01-01,2023,155,China PR,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,130000,,,57,31,47,47,48,65,40,26,49,55,32,42,42,34,54,49,64,52,55,54,57,43,66,68,66,27,56,42,34,40,35,39,50,50,49,14,10,12,7,5,,43+2,43+2,43+2,44,44,44,44,44,45+2,45+2,45+2,47+2,48+2,48+2,48+2,47+2,51+2,52+1,52+1,52+1,51+2,51+2,52+1,52+1,52+1,51+2,14+2,https://cdn.sofifa.net/players/253/744/22_120.png,https://cdn.sofifa.net/teams/112165/60.png,https://cdn.sofifa.net/flags/cn.png,,https://cdn.sofifa.net/flags/cn.png
254092,https://sofifa.com/player/254092/hmingthan-mawia/220002,Valpuia,Hmingthan Mawia,CB,52,65,180000,500,21,2000-05-31,178,69,113300,Mumbai City FC,Indian Super League,1,SUB,31,,2019-06-10,2025,159,India,,,,Right,2,2,1,Medium/High,Normal (170-185),No,356000,,,58,26,31,33,50,66,31,21,46,34,25,24,38,17,28,35,55,60,40,48,67,31,73,65,73,29,49,51,28,31,34,44,50,52,50,13,9,11,8,11,,36+2,36+2,36+2,34,34,34,34,34,33+2,33+2,33+2,36+2,36+2,36+2,36+2,36+2,46+2,45+2,45+2,45+2,46+2,48+2,52+2,52+2,52+2,48+2,14+2,https://cdn.sofifa.net/players/254/092/22_120.png,https://cdn.sofifa.net/teams/113300/60.png,https://cdn.sofifa.net/flags/in.png,,https://cdn.sofifa.net/flags/in.png
254119,https://sofifa.com/player/254119/jack-madelin/220002,J. Madelin,Jack Madelin,CB,52,70,190000,650,19,2002-04-19,186,74,112259,AFC Wimbledon,English League One,3,RES,15,,2019-10-26,2022,50,Wales,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,451000,,,59,23,33,36,51,64,28,15,47,39,29,30,28,25,34,35,61,58,45,45,57,36,68,60,72,20,48,51,28,32,39,38,52,53,50,6,12,8,13,12,,36+2,36+2,36+2,35,34,34,34,35,34+2,34+2,34+2,37+2,37+2,37+2,37+2,37+2,46+2,46+2,46+2,46+2,46+2,48+2,52+2,52+2,52+2,48+2,14+2,https://cdn.sofifa.net/players/254/119/22_120.png,https://cdn.sofifa.net/teams/112259/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-wls.png
254240,https://sofifa.com/player/254240/adrian-hansen/220002,A. Hansen,Adrian Aleksander Hansen,CB,52,65,180000,500,19,2001-09-03,194,71,112420,Mjøndalen IF,Norwegian Eliteserien,1,RES,28,,2020-06-03,2022,36,Norway,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,338000,,,65,28,36,36,53,55,36,25,43,44,31,27,29,23,23,33,67,63,53,48,74,39,69,57,55,20,51,53,26,37,41,45,50,57,55,13,10,9,10,12,,37+2,37+2,37+2,37,36,36,36,37,36+2,36+2,36+2,39+2,37+2,37+2,37+2,39+2,49+2,46+2,46+2,46+2,49+2,51+2,52+2,52+2,52+2,51+2,15+2,https://cdn.sofifa.net/players/254/240/22_120.png,https://cdn.sofifa.net/teams/112420/60.png,https://cdn.sofifa.net/flags/no.png,,https://cdn.sofifa.net/flags/no.png
